epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.71146,1.53828,3.83719,1.28527,0.01164,0.48832,0.06374,0.03231,1.44539,3.70238,1.16653,0.00024543,0.00024543,0.00024543
2,10.5219,1.60661,2.59718,1.27102,0.6012,0.09414,0.24479,0.13178,1.57445,3.15594,1.25631,0.000495,0.000495,0.000495
3,15.0575,1.57959,2.19585,1.26121,0.39841,0.25874,0.27713,0.13961,1.67269,2.65092,1.31813,0.000739531,0.000739531,0.000739531
4,19.5471,1.57395,1.9952,1.26371,0.34845,0.35872,0.29196,0.15021,1.67773,2.34082,1.35989,0.000882003,0.000882003,0.000882003
5,23.9769,1.54959,1.84267,1.24195,0.52652,0.3679,0.40364,0.20643,1.71027,1.95841,1.36092,0.000873004,0.000873004,0.000873004
6,28.5506,1.52728,1.75264,1.23768,0.48947,0.51804,0.49687,0.2606,1.60174,1.69278,1.28315,0.000864004,0.000864004,0.000864004
7,33.0023,1.50872,1.70548,1.24262,0.45052,0.4437,0.43896,0.23603,1.61145,1.9619,1.33965,0.000855005,0.000855005,0.000855005
8,37.4363,1.4801,1.6665,1.21646,0.50138,0.46704,0.46235,0.25596,1.62399,1.90831,1.338,0.000846006,0.000846006,0.000846006
9,41.9036,1.43321,1.55896,1.22349,0.51589,0.48911,0.48236,0.26821,1.51924,1.61395,1.25279,0.000837007,0.000837007,0.000837007
10,46.346,1.43296,1.47974,1.18057,0.60977,0.62617,0.58458,0.31993,1.5352,1.40527,1.28587,0.000828008,0.000828008,0.000828008
11,50.7442,1.41367,1.44758,1.19435,0.67664,0.52252,0.5789,0.32992,1.52771,1.66952,1.29297,0.000819009,0.000819009,0.000819009
12,55.201,1.40501,1.44031,1.18278,0.70372,0.60115,0.64458,0.36859,1.51146,1.38683,1.25543,0.00081001,0.00081001,0.00081001
